Label;Area;Major;Minor;Angle;Feret;Slice;FeretX;FeretY;FeretAngle;MinFeret;Scale_um;Scale_px
2022020406.jpg_converted.tif:0581-0804;279057;1022.453344476;347.503785434;1.145830934;1012.505802453;1;298;604;1.811120792;347.561602044;1000;230
2022020407.jpg_converted.tif:0592-0795;264718;957.668494380;351.947910766;179.626378222;943.358362448;1;324;601;1.579335054;352.000000000;1000;230
2022020408.jpg_converted.tif:0607-0728;237046;1105.066003912;273.120646235;0.836882278;1067.171963650;1;195;637;2.685451112;270.982548094;1000;230
2022020409.jpg_converted.tif:0574-0800;209262;994.967974522;267.788170507;179.205685169;957.033437242;1;322;587;0.478950428;256.875977256;1000;230
2022020410.jpg_converted.tif:0620-0774;226158;1016.056455501;283.402863492;179.444932209;990.182306447;1;279;586;178.900519007;280.283965892;1000;230
2022020411.jpg_converted.tif:0562-0797;231899;1029.970396120;286.671324047;179.913505982;995.024622811;1;300;542;0.403079236;278.785839631;1000;230
2022020412.jpg_converted.tif:0574-0839;222199;1025.263542013;275.941299000;1.116856139;987.693272226;1;346;587;2.146860817;271.000000000;1000;230
2022020413.jpg_converted.tif:0543-0803;244477;1090.885711216;285.344084149;0.506696551;1054.296447874;1;276;540;1.358753280;276.652266394;1000;230
2022020414.jpg_converted.tif:0564-0838;223072;1032.457220381;275.095264110;179.187250002;994.012575373;1;341;564;0.288205716;269.116289019;1000;230
2022020415.jpg_converted.tif:0613-0804;215309;1001.749754475;273.661093415;179.451246133;968.632541266;1;320;591;177.929257147;268.000000000;1000;230
2022020416.jpg_converted.tif:0560-0812;228878;1032.371512166;282.278731141;0.123087944;997.686323450;1;314;600;2.125347456;281.000000000;1000;230
2022020417.jpg_converted.tif:0566-0820;216324;1001.210487271;275.099267114;0.193587137;964.564668646;1;338;569;178.039395563;270.936590377;1000;230
2022020418.jpg_converted.tif:0580-0747;242907;1080.831002481;286.149081015;1.262009370;1046.080780820;1;224;575;0.712052378;284.390465515;1000;230
2022020419.jpg_converted.tif:0544-0742;228268;1053.437737370;275.896556662;178.775099782;1014.142494919;1;235;553;0.960490147;269.118415694;1000;230
2022020810.jpg_converted.tif:0612-0787;235912;1079.926955748;278.141485291;178.783663160;1037.156208100;1;269;584;179.005573314;271.211969678;1000;230
2022020811.jpg_converted.tif:0558-0874;226240;1070.901640966;268.986154827;178.990319536;1028.120615492;1;361;527;176.319377827;263.877577507;1000;230
2022021113.jpg_converted.tif:0584-0662;213449;886.106980882;306.703043140;177.798591701;875.005142842;1;225;578;0.196441903;306.481760004;1000;230
2022021114.jpg_converted.tif:0597-0602;200008;848.358110733;300.177592035;0.895238667;852.803025323;1;176;622;2.486634581;304.663525009;1000;230
2022021115.jpg_converted.tif:0585-0772;218143;880.731414780;315.360948124;179.669298157;886.225704886;1;329;576;178.706861159;322.000000000;1000;230
2022021116.jpg_converted.tif:0621-0648;211456;865.701531031;311.001114727;2.235968935;865.187262967;1;216;627;1.192110066;316.647694038;1000;230
2022021117.jpg_converted.tif:0537-0694;200719;851.848369110;300.010397915;179.386081583;848.566438177;1;270;525;177.906393180;306.673458888;1000;230
2022021118.jpg_converted.tif:0612-0783;181545;793.601131272;291.267570119;177.005947909;792.114259435;1;388;572;176.960600431;291.580965386;1000;230
2022021801.jpg_converted.tif:0569-0763;156279;728.353902998;273.192196805;2.518726967;719.602668144;1;404;601;3.824667509;274.136785348;1000;230
2022021802.jpg_converted.tif:0557-0764;149136;692.318661581;274.275219319;1.111324626;688.142427118;1;420;569;1.165741606;274.000000000;1000;230
2022021803.jpg_converted.tif:0619-0983;155445;723.873180351;273.416292251;0.422723857;722.024930318;1;622;613;0.476131252;273.987802797;1000;230
2022021804.jpg_converted.tif:0551-0835;157287;723.535249438;276.785448157;0.058855542;718.201225284;1;476;556;1.356331896;278.791118397;1000;230
